사업장명,주소,전화번호,위치정보(X),위치정보(Y)
시장주스,서울특별시 서초구 반포동 115-5번지 달빛광장 ,,199357.3203,445358.0705
쁘띠스낵바,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
청춘꼬치,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
카페원더,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
휴하우스,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
오빠트럭,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
츄로맨스,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
후니형,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
프라이스택(Price-tag),서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
쿠킹릴라,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
머스마둘,서울특별시 양천구 목동 914번지 목동야구장 앞 주차장 ,,189660.5929,447921.3792
쎈트럭,,,194065.635,447512.3389
휴하우스,,,194065.635,447512.3389
사랑애푸드카,,,194065.635,447512.3389
코코하우스(COCO HOUSE),서울특별시 영등포구 여의도동 844번지 여의도한강공원 이벤트광장 ,,194065.635,447512.3389
매직킹,,,194065.635,447512.3389
STEAK BOX,,,194065.635,447512.3389
청춘꼬치,서울특별시 영등포구 여의도동 8번지 여의도 한강공원 이벤트광장(2016 서울 크리스마스 마켓) ,,194130.2127,447430.465
치킨핏,,,194065.635,447512.3389
고기식당,,,194065.635,447512.3389
푸드트럭박선생,,,194065.635,447512.3389
익스트림커피,,,194065.635,447512.3389
찾아가는바베큐폭립,,,194065.635,447512.3389
오늘도달콤한여행중,,,194065.635,447512.3389
CAFE LA JOY,,,194065.635,447512.3389
피자카,,,194065.635,447512.3389
프랑스분식쉐니코,,,194065.635,447512.3389
앤디캔디솜사탕,,,194065.635,447512.3389
더그릴러즈,,,194065.635,447512.3389
더티댄싱,,,194065.635,447512.3389
사이언스푸드,,,194065.635,447512.3389
서울트럭,,,194065.635,447512.3389
스트릿스테이크,,,194065.635,447512.3389
시카고문스,,,194065.635,447512.3389
얼라이브(ALIVE),,,194065.635,447512.3389
키친박스,서울특별시 영등포구 여의도동 8번지 물빛광장 97더5269 ,,194130.2127,447430.465
청년컵밥,,,194065.635,447512.3389
온더웨이,,,194065.635,447512.3389
비따비,,,194065.635,447512.3389
푸드트럭 팩토리,서울특별시 서초구 서초동 700번지 예술의전당 계단 광장 ,,201257.3389,442311.1285
건강이네,서울특별시 서초구 양재동 12-9번지 앞 양재역 5번 출구 뒤 ,,203035.1328,442466.3876
로라 house(푸드트럭),서울특별시 송파구 장지동 600-2번지 1층 ,,211232.3904,440878.0587
서초강산,"서울특별시 서초구 서초동 1318-8번지 강남역 9번,10번 출구외2개소 ",,202305.7023,444007.8968
니나노 분식,서울특별시 서초구 방배동 493-3번지 하천 ,,198388.7616,441766.728
현주네,서울특별시 서초구 서초동 1318-8번지 강남역 9번 10번출구 외 2개소 ,,202373.6086,444312.0864
화덕1번가,서울특별시 강남구 삼성동 159번지 ,041-561-2249,205230.342,445818.0717
엄지네,서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
엽기터키,서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
분홍부엌(Pink Kitchen),서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
쇼쿠지,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
소RIM사,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
쉬림프킹,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
미디움레어플리즈,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
꼬치에반하나,"서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장
(86거8506) ",,194130.2127,447430.465
영등포시니어클럽(꽃할매네푸드트럭),서울특별시 영등포구 신길동 426-3번지 영등포제1스포츠센터 ,,191715.0648,444568.405
오사카멘치,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장(80다8529) ,,194130.2127,447430.465
불꽃튀김,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장(81다6029) ,,194130.2127,447430.465
킹콩디저트,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
청춘꼬치,서울특별시 종로구 종로3가 143-1번지 ,,199495.757,451994.7384
더키친소울,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 일대 ,,201010.2625,451995.1631
치봉(Cheebon),서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
야미(YUMMY),서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
치킨공장,서울특별시 중구 다동 13번지 청계천로 보행자 전용거리(광통교 일대) ,,198333.0286,451838.5472
맘스테이크,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
엉클잭(Uncle Jack),서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
깨소금왕족발,서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
루쏘팩토리,서울특별시 중랑구 면목동 1031-22번지 면목동 겸재 작은도서관 중랑천 산책로 행사장 부근 ,032-684-8016,206505.1821,453769.1954
(주)루쏘팩토리,서울특별시 중랑구 면목동 1031-22번지 겸재 작은도서관 중랑천 산책로 행사장 부근(중랑천 체육둔치) ,032-684-8016,206505.1821,453769.1954
카페체리블라썸,서울특별시 영등포구 여의도동 8번지 라이프플러스 벚꽃피크닉페스티벌 여의도한강공원 일대 ,,194130.2127,447430.465
서대문지역자활센터(80거6381),서울특별시 서대문구 연희동 188-47번지 자활사업단 ,02-324-1027,193488.7172,452561.7999
꽃보다,서울특별시 관악구 봉천동 225번지 관악구민종합체육센터 ,,196489.6238,441515.6808
퍼펙트아이스,서울특별시 강남구 삼성동 159번지 코엑스 ,02-1522-0761,205230.342,445818.0717
달콤카페,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
튀김공방,서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
하밤(Ha Bam),서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
세민이네고깃집,서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
(주)스테이크아웃,서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(92모6256) ,,194130.2127,447430.465
듀피에(딸바보트럭),서울특별시 영등포구 여의도동 8번지 여의도 한강공원 물빛광장(84부4078) ,,194130.2127,447430.465
푸드트럭:청년반점,서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(86다6195) ,,194130.2127,447430.465
LFT(라오푸드트럭),서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(88더4166) ,,194130.2127,447430.465
록키스핫도그,서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(93보2908) ,,194130.2127,447430.465
에이비카페,서울특별시 영등포구 여의도동 8번지 물빛광장(89수3190) ,,194130.2127,447430.465
한끼트럭,서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(88오9336) ,,194130.2127,447430.465
요리하는브라더,서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(95누7271) ,,194130.2127,447430.465
미스터트럭,서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(91모6374) ,,194130.2127,447430.465
퍼펙트아이스,서울특별시 영등포구 여의도동 8번지 여의도한강공원 물빛광장(98두1018) ,,194130.2127,447430.465
만남의 광장,"서울특별시 서초구 서초동 1318-11번지 강남역 9번, 10번 출구(지오다노 앞) ",,202324.7131,443985.0949
매실닭꽂이집,"서울특별시 서초구 서초동 1318-11번지 강남역9번,10번출구, 지오다노 앞 ",,202324.7131,443985.0949
강남타로.카페,"서울특별시 서초구 서초동 1318-11번지 강남역 9번,10번출구 ",,202324.7131,443985.0949
행복한 집,"서울특별시 서초구 서초동 1318-11번지 강남역 9,10번출구 외 2개소 ",,202324.7131,443985.0949
꼬치의왕자,서울특별시 영등포구 여의도동 8번지 여의도 한강공원(92도1917) ,,194130.2127,447430.465
아잉커피,"서울특별시 마포구 성산동 533-1번지 마포농수산물시장,마포구시설관리공단 ",,191031.1379,451745.2809
대한트럭,"서울특별시 중구 태평로1가 31번지 광화문광장, 서울광장 ",,198089.5898,451906.659
한옥푸드트럭,서울특별시 중구 필동2가 84-1번지 남산골한옥마을 ,,199549.501,451119.8286
더로드샌드위치,서울특별시 동작구 신대방동 395번지 보라매공원 ,,193243.3151,444024.8587
더키친소울,"서울특별시 마포구 성산동 533-1번지 마포농수산물시장,마포구시설관리공단 ",,191031.1379,451745.2809
대니대니(Danny Danny),서울특별시 종로구 서린동 93-2번지 청계천보행전용거리(무교동사거리~광통교사거리) ,,198196.0707,451877.6383
오렌지키친,서울특별시 종로구 서린동 93-2번지 청계천보행자전용거리(무교동사거리~광통교사거리) ,,198196.0707,451877.6383
한끼트럭,서울특별시 강남구 삼성동 159번지 코엑스 ,,205230.342,445818.0717
엠비셔스(AMBITIOUS),서울특별시 서초구 잠원동 122-1번지 한강공원달빛광장 ,,200081.0118,445654.3558
숲길여행,서울특별시 종로구 서린동 93-2번지 ,,198196.0707,451877.6383
월맹청년,서울특별시 마포구 성산동 533-1번지 마포농수산물시장 내 ,070-7535-7095,191031.1379,451745.2809
호관점,서울특별시 강남구 삼성동 159번지 코엑스 ,,205230.342,445818.0717
한양대학교협동조합하이쿱(HYCOOP)1,서울특별시 성동구 사근동 110번지 한양대학교 ,02-2220-2977,204410.3731,451211.864
한양대학교협동조합하이쿱(HYCOOP)2,서울특별시 성동구 사근동 110번지 한양대학교 ,02-2220-2977,204410.3731,451211.864
맛에반하다,서울특별시 강서구 화곡동 953-1번지 케이씨대학교 (지상 1층) 본관 앞 ,,187255.074,449962.3861
스테이큰,서울특별시 노원구 월계동 648번지 인덕대학교 ,,205021.1566,459256.8154
꽈배기팩토리,"서울특별시 노원구 월계동 648번지 인덕대학교,인덕공업고등학교 ",,205021.1566,459256.8154
월광,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
미스꼬레아,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
토리도리,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
깡패팩토리&쇼타임,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
샤우,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장(82어4800) ,,194130.2127,447430.465
판타이와롱,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
아이피자유(IPIZZAU),서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
파라다이스커피,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
피카소'스키친(picasso's kitchen),서울특별시 광진구 능동 18번지 어린이대공원 희망나루옆 ,,207872.0474,450340.0211
오롯한식당,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
불고기파티,서울특별시 영등포구 여의도동 8번지 서울밤도깨비야시장 여의도 한강공원 물빛광장 ,,194130.2127,447430.465
드링크업,서울특별시 금천구 가산동 717번지 독산역2번출구 앞 광장 ,,190225.8335,440734.896
핸드메이드 아이스크림,서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
라온쿡,서울특별시 서초구 잠원동 122-1번지 반포 한강공원 달빛광장 ,,200081.0118,445654.3558
삼박자,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
88푸드트럭,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
발닭발닭,서울특별시 서초구 잠원동 122-1번지 반포 한강공원 달빛광장 ,,200081.0118,445654.3558
그릴드 쿠반,서울특별시 서초구 반포동 122-1번지 ,,200893.7246,444545.3293
모히또앤카페,서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
춘향전,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
카프리 푸드트럭,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
UMUgrillhouse,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
원모어타코,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
아시안 트럭,서울특별시 중구 다동 13번지 청계천 보행자 전용거리(광통교 일대) ,,198333.0286,451838.5472
달밤,서울특별시 중구 다동 13번지 청계천로 보행자 전용거리(광통교 일대) ,,198333.0286,451838.5472
taek's,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
쉬림플라워,서울특별시 중구 다동 13번지 청계천로 보행자 전용거리(광통교 일대) ,,198333.0286,451838.5472
슈니첼버거 스위스델리,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
와플라스,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
요세브라더스,서울특별시 중구 다동 13번지 청계천 보행자 전용거리(광통교 일대) ,,198333.0286,451838.5472
미트 플레이스,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
푸디트럭,서울특별시 은평구 녹번동 153-31번지 은평평화공원앞 ,,193155.1668,455901.4356
레드마후라,서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
샹스마라탕,"서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대 
, 스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ",,194130.2127,447430.465
허클베리핀,"서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대 
, 스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ",,194130.2127,447430.465
네발낙지,"서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대 
, 스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ",,194130.2127,447430.465
푸드캠프,"서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대 
, 스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ",,194130.2127,447430.465
쿠킹홀리데이,서울특별시 마포구 성산동 661번지 ,,190726.8216,452316.9264
88's TRUCK(88트럭),서울특별시 은평구 증산동 184-9번지 증산종합시장 야시장 ,,191614.1555,453550.412
꼬꼬,서울특별시 송파구 잠실동 10번지 ,,206769.6608,446304.7841
칠링키친(98도9900),서울특별시 마포구 신수동 81-29번지 서강대학교최양업관마당 ,,195027.3936,450464.8926
청년상회,서울특별시 마포구 신수동 1-1번지 서강대학교최양업관마당 ,,195027.3936,450464.8926
꼬치전쟁,서울특별시 중구 무교동 45번지 서울광장 ,,198122.002,452035.3857
마이츄,서울특별시 중구 무교동 45번지 서울광장 ,,198122.002,452035.3857
형이야,서울특별시 영등포구 여의도동 8번지 여의도 한강공원 (98도9290) ,,194130.2127,447430.465
나이스챕,서울특별시 중구 서소문동 37번지 서울시립미술관 ,,197676.3601,451619.4185
자메이카와사비,서울특별시 중구 장충동2가 201번지 반얀트리호텔내 아이스링크장 ,,200203.9716,450131.4997
함앤박스,서울특별시 영등포구 여의도동 8번지 여의도 한강공원 이벤트광장(97소8240) ,,194130.2127,447430.465
아임스테이크,서울특별시 영등포구 여의도동 8번지 여의도 한강공원 (87두9368) ,,194130.2127,447430.465
인초록,서울특별시 영등포구 여의도동 8번지 한강사업본부 여의도안내센터 ,,194130.2127,447430.465
브라더스테이크,"서울특별시 영등포구 여의도동 8번지 여의도한강공원 이벤트광장 일대 
, 스트라스부르와 함께하는 2017 서울 크리스마스 마켓 ",,194130.2127,447430.465
거북이네,서울특별시 서초구 서초동 1446-1번지 서울남부터미널 ,,201461.013,442787.9525
빅스모크바비큐앤프라이즈,서울특별시 강동구 상일동 477번지 강동아트센터 ,,213903.5998,450200.5869
칸쵸 스테이크,서울특별시 중구 다동 13번지 청계천 보행자 전용거리(광통교 일대) ,,198333.0286,451838.5472
오빠탕수육,서울특별시 종로구 서린동 93-2번지 청계천보행자전용거리(무교동사거리~광교사거리) ,010-8637-2988,198196.0707,451877.6383
기브앤테이크,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
용용,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
얼음소반(SNOW FLAKE),서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
쉬림프 핏,서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
타베르나,서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
UMkitchen(움키친),서울특별시 서초구 잠원동 122-1번지 반포 한강공원 달빛광장 ,,200081.0118,445654.3558
쿠쿠네 Food,서울특별시 서초구 잠원동 122-1번지 반포 한강공원 달빛광장 ,,200081.0118,445654.3558
꺼야꺼야,서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
로드난케밥,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
새우시장,서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
베이징 쿡,서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
니하오(NIHAO),서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
두놈,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
ASAP PIZZA,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
크리미요기,서울특별시 중구 을지로7가 2-1번지 DDP 팔거리광장 ,,201010.2625,451995.1631
바베큐포크(BBQ Pork),서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
돈블랙,서울특별시 서초구 잠원동 122-1번지 달빛공원 ,,200081.0118,445654.3558
푸드메이커스,서울특별시 서초구 잠원동 122-1번지 ,,200081.0118,445654.3558
엔제리너스 카페 앤 다이닝 석촌호수D/I,서울특별시 송파구 신천동 32번지 송파관광정보센터 ,,209174.1108,445816.7874
찾아가는 바베큐,서울특별시 송파구 잠실동 47번지 서울놀이마당 ,,208668.7695,445597.0262
더 버스커즈,서울특별시 서초구 서초동 1318-8번지 앞 ,,202373.6086,444312.0864
푸드트럭 팩토리 고양점,서울특별시 송파구 잠실동 10번지 ,,206769.6608,446304.7841
푸드트럭 팩토리,서울특별시 송파구 잠실동 10번지 ,,206769.6608,446304.7841
Chef on the Road,서울특별시 서초구 반포동 115-5번지 달빛광장 외 1개소 ,,199357.3203,445358.0705
츄앤츄 츄러스,서울특별시 중구 태평로2가 360-1번지 ,,197935.0533,451685.6482
예쁜 할머니네,"서울특별시 서초구 서초동 1318-8번지 강남역 9,10번출구 외 2개소 ",,202373.6086,444312.0864
HIVE CLUB,서울특별시 영등포구 여의도동 8번지 여의도 한강공원(97보9960) ,,194130.2127,447430.465
미스터쿡,서울특별시 영등포구 여의도동 8번지 여의도 한강공원(80부5136) ,,194130.2127,447430.465
차이나쉬림프,서울특별시 영등포구 여의도동 8번지 여의도 한강공원(936두7188) ,,194130.2127,447430.465
커피스테이션,서울특별시 영등포구 여의도동 8번지 여의도 한강공원(95부9612) ,,194130.2127,447430.465
환상의 떡볶이,서울특별시 서초구 서초동 1318-8번지 강남역 9번 10번 출구 외 2개소 ,,202373.6086,444312.0864
